igralec,ekipa,passing_yards,passing_td,passing_att,passing_cmp,passing_int,sacks,rushing_yards,rushing_td,rushing_att,fumbles,receiving_yards,receiving_td,receptions,targets,def_interceptions,def_sacks,pozicija,starost,tekme
Jordan Howden,NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,25,16
Jordan Jackson,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,27,5
Jordan Love,GNB,3381,23,439,291,6,21,199,0,47,7,0,0,0,0,0,0,QB,27,15
Jordan Magee,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,24,17
Jordan Mason,MIN,0,0,0,0,0,0,758,6,159,3,51,0,14,16,0,0,RB,26,16
Jordan Meredith,LVR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,27,13
Jordan Mims,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RB,26,1
Jordan Phillips,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,33,11
Jordan Phillips,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,21,17
Jordan Poyer,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,S,34,10
Jordan Stout,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,27,17
Jordan Turner,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,24,7
Jordan Watkins,SFO,0,0,0,0,0,0,0,0,0,0,26,0,2,3,0,0,WR,23,4
Jordan Whittington,LAR,0,0,0,0,0,0,12,0,3,0,171,0,18,25,0,0,WR,25,17
Jordon Riley,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,27,4
Jordyn Brooks,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,28,17
Josaiah Stewart,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,22,17
Joseph Ossai,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,25,14
Josh Allen,BUF,3668,25,460,319,10,40,579,14,112,7,0,0,0,0,0,0,QB,29,17
Josh Blackwell,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DB,26,15
Josh Butler,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,29,1
Josh Conerly,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OT,22,17
Josh Downs,IND,0,0,0,0,0,0,-2,0,2,1,566,4,58,88,0,0,WR,24,16
Josh Harris,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LS,36,8
Josh Hayes,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,26,17
Josh Hines-Allen,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,28,17
Josh Jacobs,GNB,0,0,0,0,0,0,929,13,234,3,282,1,36,44,0,0,RB,27,15
Josh Jobe,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CB,27,16
Josh Johnson,WAS,372,1,54,34,2,2,55,1,12,2,0,0,0,0,0,0,QB,39,5
Josh Metellus,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,S,27,14
Josh Myers,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,27,17
Josh Newton,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CB,25,14
Josh Oliver,MIN,0,0,0,0,0,0,0,0,0,0,160,4,15,19,0,0,TE,28,15
Josh Palmer,BUF,0,0,0,0,0,0,0,0,0,0,303,0,22,37,0,0,WR,26,12
Josh Reynolds,NYJ,0,0,0,0,0,0,0,0,0,0,101,0,11,21,0,0,WR,30,5
Josh Sweat,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OLB,28,17
Josh Tupou,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NT,31,3
Josh Wallace,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CB,25,15
Josh Whyle,GNB,0,0,0,0,0,0,0,0,0,0,36,1,5,6,0,0,TE,26,8
Josh Williams,TAM,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,RB,25,3
Josh Woods,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LB,29,12
